BowlerName,OverNo,Dot,1,2,3,4,5,6,Wickets,TotalBalls
Mohammed Shami,1,132,60,7,0,40,0,6,8,253
Mohammed Shami,2,113,51,5,2,35,0,4,10,220
Mohammed Shami,3,85,43,4,1,32,1,10,6,182
Mohammed Shami,4,74,34,9,2,30,0,5,3,157
Mohammed Shami,5,46,34,2,0,24,1,4,1,112
Mohammed Shami,6,5,11,1,0,1,0,0,0,18
Mohammed Shami,7,8,10,2,0,3,0,1,0,24
Mohammed Shami,8,7,13,2,0,8,0,0,1,31
Mohammed Shami,9,19,20,3,0,7,0,1,1,51
Mohammed Shami,10,19,13,5,0,5,0,1,1,44
Mohammed Shami,11,11,16,2,0,2,0,0,1,32
Mohammed Shami,12,28,32,6,0,6,0,4,3,79
Mohammed Shami,13,6,20,1,0,6,0,3,1,37
Mohammed Shami,14,33,37,7,0,9,0,7,6,99
Mohammed Shami,15,33,40,6,0,8,0,8,7,102
Mohammed Shami,16,34,52,6,0,16,0,12,10,130
Mohammed Shami,17,40,48,11,0,18,0,10,14,141
Mohammed Shami,18,47,47,20,0,19,0,16,19,168
Mohammed Shami,19,34,32,13,1,13,0,12,18,123
Yash Dayal,1,22,8,1,0,6,0,1,2,40
Yash Dayal,2,0,0,0,0,0,0,0,0,0
Yash Dayal,3,16,8,1,0,6,0,5,2,38
Yash Dayal,4,2,1,0,0,2,0,1,0,6
Yash Dayal,5,5,3,0,0,4,0,0,1,13
Yash Dayal,6,4,2,0,0,1,0,0,1,8
Yash Dayal,7,1,3,0,0,2,0,0,0,6
Yash Dayal,8,0,0,0,0,0,0,0,0,0
Yash Dayal,9,3,2,1,0,0,0,0,0,6
Yash Dayal,10,4,1,0,0,1,0,0,1,7
Yash Dayal,11,0,4,0,0,2,0,1,0,7
Yash Dayal,12,7,4,0,0,1,0,2,1,15
Yash Dayal,13,1,4,0,0,1,0,0,0,6
Yash Dayal,14,0,0,0,0,0,0,0,0,0
Yash Dayal,15,0,0,0,0,0,0,0,0,0
Yash Dayal,16,4,3,2,0,4,0,0,1,14
Yash Dayal,17,3,7,2,0,1,0,0,1,14
Yash Dayal,18,8,11,1,0,0,0,1,0,21
Yash Dayal,19,7,2,4,0,0,0,1,3,17
LH Ferguson,1,19,9,1,0,4,0,3,1,37
LH Ferguson,2,1,4,0,0,1,0,0,0,6
LH Ferguson,3,22,10,2,0,10,0,2,2,48
LH Ferguson,4,30,17,3,0,10,0,2,6,68
LH Ferguson,5,32,19,2,0,14,0,1,4,72
LH Ferguson,6,23,16,3,0,7,0,0,3,52
LH Ferguson,7,27,11,3,0,3,0,0,3,47
LH Ferguson,8,10,11,0,0,3,0,0,1,25
LH Ferguson,9,25,11,2,0,4,0,3,1,46
LH Ferguson,10,12,18,1,0,5,0,2,0,38
LH Ferguson,11,24,15,4,0,8,0,1,4,56
LH Ferguson,12,10,8,2,0,4,0,1,1,26
LH Ferguson,13,18,14,2,0,4,0,1,0,39
LH Ferguson,14,10,2,2,0,3,0,1,2,20
LH Ferguson,15,13,10,2,0,4,0,2,2,33
LH Ferguson,16,26,32,7,0,7,0,4,4,80
LH Ferguson,17,10,12,6,0,4,0,7,0,39
LH Ferguson,18,28,26,3,0,13,0,4,6,80
LH Ferguson,19,8,11,2,0,3,0,6,4,34
Rashid Khan,1,0,0,0,0,0,0,0,0,0
Rashid Khan,2,9,2,1,0,2,0,0,1,15
Rashid Khan,3,7,5,2,0,2,0,2,2,20
Rashid Khan,4,41,31,3,1,5,0,4,3,88
Rashid Khan,5,32,27,4,0,9,0,7,3,82
Rashid Khan,6,49,65,10,0,5,0,3,6,138
Rashid Khan,7,90,107,10,0,14,0,3,7,231
Rashid Khan,8,83,81,11,1,15,0,9,5,205
Rashid Khan,9,80,89,8,0,12,0,5,5,199
Rashid Khan,10,71,81,8,0,11,0,4,11,186
Rashid Khan,11,70,102,7,0,14,0,7,9,209
Rashid Khan,12,57,65,12,0,9,0,2,10,155
Rashid Khan,13,69,79,5,0,10,0,10,15,188
Rashid Khan,14,97,72,9,0,10,0,7,16,211
Rashid Khan,15,64,73,10,0,18,0,7,10,182
Rashid Khan,16,48,39,6,0,6,0,5,8,112
Rashid Khan,17,40,33,3,0,11,0,4,7,98
Rashid Khan,18,1,4,1,0,0,0,0,0,6
Rashid Khan,19,3,4,1,0,2,0,2,1,13
HH Pandya,1,23,14,1,0,5,0,0,2,45
HH Pandya,2,7,8,1,0,7,0,1,0,24
HH Pandya,3,26,19,2,0,13,0,2,3,65
HH Pandya,4,10,5,2,0,5,0,3,1,26
HH Pandya,5,24,11,2,0,5,0,1,1,44
HH Pandya,6,35,31,5,0,5,0,4,4,84
HH Pandya,7,20,22,1,1,4,0,2,1,51
HH Pandya,8,36,35,6,0,12,0,2,4,95
HH Pandya,9,29,36,4,0,4,0,4,3,80
HH Pandya,10,16,16,4,0,6,0,1,0,43
HH Pandya,11,13,22,3,1,6,0,1,0,46
HH Pandya,12,32,30,9,1,2,0,3,2,79
HH Pandya,13,15,17,1,0,4,0,1,2,40
HH Pandya,14,41,55,6,0,19,1,8,8,138
HH Pandya,15,36,24,4,0,12,0,8,5,89
HH Pandya,16,10,7,3,0,0,0,0,3,23
HH Pandya,17,18,16,2,0,6,0,9,7,58
HH Pandya,18,5,7,2,0,2,0,3,1,20
HH Pandya,19,22,19,7,1,9,0,12,6,76
R Sai Kishore,1,0,0,0,0,0,0,0,0,0
R Sai Kishore,2,0,0,0,0,0,0,0,0,0
R Sai Kishore,3,0,0,0,0,0,0,0,0,0
R Sai Kishore,4,0,0,0,0,0,0,0,0,0
R Sai Kishore,5,0,0,0,0,0,0,0,0,0
R Sai Kishore,6,1,4,1,0,0,0,0,0,6
R Sai Kishore,7,0,4,0,0,2,0,0,0,6
R Sai Kishore,8,6,5,1,0,1,0,0,1,14
R Sai Kishore,9,2,4,0,0,0,0,0,1,7
R Sai Kishore,10,6,11,1,0,0,0,0,1,19
R Sai Kishore,11,2,3,0,0,0,0,1,0,6
R Sai Kishore,12,7,10,0,0,1,0,0,1,19
R Sai Kishore,13,1,3,0,0,2,0,1,0,7
R Sai Kishore,14,1,3,0,0,1,0,1,0,6
R Sai Kishore,15,2,4,0,0,0,0,0,1,7
R Sai Kishore,16,0,0,0,0,0,0,0,0,0
R Sai Kishore,17,1,2,1,0,0,0,2,1,7
TA Boult,1,36,16,0,0,11,0,1,1,65
TA Boult,2,180,79,15,1,61,0,14,14,364
TA Boult,3,20,12,2,0,10,0,0,1,45
TA Boult,4,77,36,4,0,26,0,4,5,152
TA Boult,5,25,14,0,0,13,0,4,4,60
TA Boult,6,4,1,0,0,0,0,1,0,6
TA Boult,7,4,2,0,0,1,0,0,1,8
TA Boult,8,5,6,0,0,2,0,0,3,16
TA Boult,9,3,7,1,0,1,0,0,0,12
TA Boult,10,11,11,0,0,2,0,1,1,26
TA Boult,11,9,17,2,0,4,0,0,2,34
TA Boult,12,13,27,2,0,7,1,1,4,55
TA Boult,13,7,9,0,1,1,0,0,1,19
TA Boult,14,17,18,4,0,10,0,0,1,50
TA Boult,15,14,28,7,0,11,0,3,2,65
TA Boult,16,19,29,7,0,12,0,5,2,74
TA Boult,17,52,75,9,1,26,0,21,14,198
TA Boult,18,29,47,9,0,18,0,11,9,123
TA Boult,19,52,36,13,0,23,0,7,18,149
M Prasidh Krishna,1,118,55,7,0,26,0,6,9,221
M Prasidh Krishna,2,17,8,2,1,13,0,2,1,44
M Prasidh Krishna,3,57,24,3,1,22,1,3,2,113
M Prasidh Krishna,4,37,18,1,1,12,0,3,1,73
M Prasidh Krishna,5,38,14,2,1,8,1,5,2,71
M Prasidh Krishna,6,10,9,0,0,5,0,1,1,26
M Prasidh Krishna,7,4,5,0,0,2,0,1,1,13
M Prasidh Krishna,8,14,11,1,0,7,0,0,1,34
M Prasidh Krishna,9,11,9,1,0,3,0,1,0,25
M Prasidh Krishna,10,7,4,0,0,3,0,0,0,14
M Prasidh Krishna,11,9,12,2,1,1,0,1,3,29
M Prasidh Krishna,12,8,8,1,0,7,0,0,2,26
M Prasidh Krishna,13,12,12,1,0,2,0,2,1,30
M Prasidh Krishna,14,21,17,4,0,8,0,1,2,53
M Prasidh Krishna,15,37,32,5,0,15,0,2,4,95
M Prasidh Krishna,16,22,16,6,0,13,0,0,2,59
M Prasidh Krishna,17,38,32,6,0,14,0,7,4,101
M Prasidh Krishna,18,52,30,17,0,16,0,9,9,133
M Prasidh Krishna,19,28,12,3,0,11,0,11,8,73
YS Chahal,1,26,14,2,0,6,0,0,2,50
YS Chahal,2,18,11,4,0,7,0,3,2,45
YS Chahal,3,31,33,1,0,12,0,5,4,86
YS Chahal,4,27,27,4,0,11,0,3,3,75
YS Chahal,5,52,32,3,0,17,0,11,5,120
YS Chahal,6,100,142,13,1,20,0,11,15,302
YS Chahal,7,73,104,17,0,8,0,9,9,220
YS Chahal,8,108,109,18,0,15,0,13,14,277
YS Chahal,9,89,101,17,1,18,0,9,10,245
YS Chahal,10,102,110,14,1,15,0,11,11,264
YS Chahal,11,76,85,11,0,10,0,14,12,208
YS Chahal,12,88,93,12,3,17,0,13,16,242
YS Chahal,13,73,91,11,1,12,0,14,11,213
YS Chahal,14,91,82,6,0,11,0,20,12,222
YS Chahal,15,73,101,24,2,11,0,13,24,248
YS Chahal,16,34,53,6,0,11,0,8,9,121
YS Chahal,17,29,35,4,1,6,0,16,7,98
YS Chahal,18,12,9,2,0,1,0,2,3,29
YS Chahal,19,7,2,1,0,0,0,3,2,15
OC McCoy,1,0,0,0,0,0,0,0,0,0
OC McCoy,2,0,0,0,0,0,0,0,0,0
OC McCoy,3,5,4,1,0,2,0,0,0,12
OC McCoy,4,0,0,0,0,0,0,0,0,0
OC McCoy,5,0,0,0,0,0,0,0,0,0
OC McCoy,6,3,8,1,0,0,0,0,0,12
OC McCoy,7,2,2,1,1,1,0,1,0,8
OC McCoy,8,11,4,0,1,3,0,2,1,22
OC McCoy,9,5,2,0,0,3,0,0,1,11
OC McCoy,10,4,5,1,0,2,0,0,1,13
OC McCoy,11,0,0,0,0,0,0,0,0,0
OC McCoy,12,3,16,1,0,0,0,0,0,20
OC McCoy,13,0,0,0,0,0,0,0,0,0
OC McCoy,14,4,7,0,0,2,0,1,0,14
OC McCoy,15,0,0,0,0,0,0,0,0,0
OC McCoy,16,8,8,1,0,2,0,0,2,21
OC McCoy,17,4,2,0,0,1,0,0,1,8
OC McCoy,18,6,5,1,0,3,0,1,0,16
OC McCoy,19,11,4,4,0,0,0,3,5,27
R Ashwin,1,35,25,1,0,11,0,1,2,75
R Ashwin,2,89,71,8,0,18,0,9,8,203
R Ashwin,3,79,57,5,0,12,0,9,8,170
R Ashwin,4,102,73,7,2,13,0,10,11,218
R Ashwin,5,141,103,11,1,33,0,12,14,315
R Ashwin,6,94,110,9,1,10,0,5,2,231
R Ashwin,7,118,182,17,3,21,0,9,12,362
R Ashwin,8,92,139,14,0,14,0,8,9,276
R Ashwin,9,123,145,25,0,24,0,9,10,336
R Ashwin,10,77,102,12,0,13,0,11,11,226
R Ashwin,11,99,200,16,0,24,0,14,14,367
R Ashwin,12,82,100,12,1,12,0,17,10,234
R Ashwin,13,83,120,16,0,15,0,10,10,254
R Ashwin,14,69,75,18,0,11,0,11,9,193
R Ashwin,15,94,114,21,1,12,0,11,17,270
R Ashwin,16,45,54,12,0,6,0,4,5,126
R Ashwin,17,39,65,10,0,10,0,8,9,141
R Ashwin,18,3,1,1,0,0,0,1,1,7
R Ashwin,19,9,11,3,0,1,0,9,5,38
Mohammed Siraj,1,55,21,6,0,18,0,5,6,111
Mohammed Siraj,2,62,30,7,0,14,0,8,2,123
Mohammed Siraj,3,33,12,2,1,15,0,4,3,70
Mohammed Siraj,4,49,34,4,0,23,0,7,4,121
Mohammed Siraj,5,47,20,4,1,19,0,9,4,104
Mohammed Siraj,6,26,24,4,0,6,0,1,1,62
Mohammed Siraj,7,16,15,0,0,3,0,3,1,38
Mohammed Siraj,8,11,11,0,0,3,0,1,0,26
Mohammed Siraj,9,13,7,1,1,3,0,1,0,26
Mohammed Siraj,10,8,8,1,0,1,0,0,1,19
Mohammed Siraj,11,13,15,1,0,2,0,5,1,37
Mohammed Siraj,12,31,18,2,0,3,0,2,5,61
Mohammed Siraj,13,18,7,0,0,2,0,1,3,31
Mohammed Siraj,14,22,21,2,0,4,0,2,2,53
Mohammed Siraj,15,21,21,6,0,12,0,3,1,64
Mohammed Siraj,16,40,45,10,0,14,0,8,6,123
Mohammed Siraj,17,31,29,4,0,11,0,12,6,93
Mohammed Siraj,18,52,44,15,0,12,0,13,10,146
Mohammed Siraj,19,14,16,3,0,8,0,3,3,47
JR Hazlewood,1,48,28,6,2,15,0,4,0,103
JR Hazlewood,2,18,14,1,0,2,0,1,2,38
JR Hazlewood,3,50,13,4,0,15,0,3,4,89
JR Hazlewood,4,23,11,1,0,7,0,6,3,51
JR Hazlewood,5,24,17,1,0,7,0,0,3,52
JR Hazlewood,6,0,0,0,0,0,0,0,0,0
JR Hazlewood,7,0,0,0,0,0,0,0,0,0
JR Hazlewood,8,2,2,1,0,1,0,0,0,6
JR Hazlewood,9,2,2,1,0,1,0,0,1,7
JR Hazlewood,10,0,0,0,0,0,0,0,0,0
JR Hazlewood,11,3,3,1,0,0,0,0,1,8
JR Hazlewood,12,3,7,0,0,2,0,0,0,12
JR Hazlewood,13,6,9,1,0,0,0,3,1,20
JR Hazlewood,14,18,5,0,0,1,0,1,3,28
JR Hazlewood,15,7,11,3,0,2,0,2,2,27
JR Hazlewood,16,14,17,3,0,2,0,1,5,42
JR Hazlewood,17,8,7,2,0,7,0,1,1,26
JR Hazlewood,18,23,16,3,0,7,0,4,6,59
JR Hazlewood,19,8,8,3,0,6,0,4,1,30
GJ Maxwell,1,10,5,3,0,1,0,1,2,22
GJ Maxwell,2,9,12,0,0,2,0,2,0,25
GJ Maxwell,3,11,10,2,0,0,0,1,0,24
GJ Maxwell,4,11,10,2,0,8,0,5,1,37
GJ Maxwell,5,10,4,2,0,2,0,1,1,20
GJ Maxwell,6,21,12,2,0,2,0,1,2,40
GJ Maxwell,7,37,52,8,0,5,0,3,4,109
GJ Maxwell,8,9,12,1,0,1,0,1,1,25
GJ Maxwell,9,32,61,6,0,8,0,8,6,121
GJ Maxwell,10,13,24,4,0,3,0,7,0,51
GJ Maxwell,11,30,53,8,0,7,0,5,3,106
GJ Maxwell,12,12,16,0,0,4,0,10,1,43
GJ Maxwell,13,24,34,2,1,4,0,2,4,71
GJ Maxwell,14,8,9,0,0,4,0,3,1,25
GJ Maxwell,15,7,16,4,0,1,0,3,0,31
GJ Maxwell,16,0,0,0,0,0,0,0,0,0
GJ Maxwell,17,2,8,2,0,0,0,0,1,13
GJ Maxwell,18,2,2,1,0,1,0,0,1,7
Shahbaz Ahmed,1,3,2,0,0,1,0,0,0,6
Shahbaz Ahmed,2,0,0,0,0,0,0,0,0,0
Shahbaz Ahmed,3,14,13,0,0,3,0,2,0,32
Shahbaz Ahmed,4,3,8,1,0,3,0,3,0,18
Shahbaz Ahmed,5,5,5,0,0,2,0,0,0,12
Shahbaz Ahmed,6,3,10,2,0,2,0,1,1,19
Shahbaz Ahmed,7,5,9,2,0,1,0,3,0,20
Shahbaz Ahmed,8,15,16,4,0,4,0,4,1,44
Shahbaz Ahmed,9,9,15,0,0,2,0,0,1,27
Shahbaz Ahmed,10,9,32,3,0,2,0,3,2,51
Shahbaz Ahmed,11,0,6,3,0,1,0,2,0,12
Shahbaz Ahmed,12,7,12,2,0,1,0,3,1,26
Shahbaz Ahmed,13,6,10,0,0,1,0,1,3,21
Shahbaz Ahmed,14,6,13,2,0,1,0,2,0,24
Shahbaz Ahmed,15,0,11,1,0,0,0,0,0,12
Shahbaz Ahmed,16,7,6,0,0,0,0,0,4,17
HV Patel,1,9,6,2,0,7,0,1,1,26
HV Patel,2,19,8,0,0,5,0,0,2,34
HV Patel,3,9,11,1,0,7,0,3,1,32
HV Patel,4,53,43,3,0,22,0,3,4,128
HV Patel,5,37,29,3,0,13,1,3,3,89
HV Patel,6,38,49,7,0,9,0,2,3,108
HV Patel,7,38,44,5,0,8,0,5,5,105
HV Patel,8,38,38,4,0,12,0,5,6,103
HV Patel,9,27,30,2,0,9,0,3,2,73
HV Patel,10,25,38,6,0,7,0,4,3,83
HV Patel,11,40,38,9,0,10,0,2,5,104
HV Patel,12,40,41,11,0,15,0,6,4,117
HV Patel,13,40,29,5,0,7,0,1,9,91
HV Patel,14,40,33,7,0,8,0,0,7,95
HV Patel,15,31,35,7,0,9,0,6,5,93
HV Patel,16,38,37,8,0,9,0,5,6,103
HV Patel,17,56,61,10,0,16,0,12,13,168
HV Patel,18,20,20,8,0,6,0,7,2,63
HV Patel,19,61,30,11,0,10,0,19,25,156
PWH de Silva,1,0,0,0,0,0,0,0,0,0
PWH de Silva,2,0,0,0,0,0,0,0,0,0
PWH de Silva,3,4,5,0,0,2,0,1,0,12
PWH de Silva,4,2,1,0,0,3,0,0,0,6
PWH de Silva,5,6,2,0,0,1,0,3,0,12
PWH de Silva,6,10,13,0,0,1,0,0,2,26
PWH de Silva,7,17,17,5,0,2,0,2,2,45
PWH de Silva,8,12,17,3,0,2,0,2,4,40
PWH de Silva,9,13,11,0,0,4,0,2,1,31
PWH de Silva,10,18,13,0,0,2,0,3,1,37
PWH de Silva,11,14,10,0,0,0,0,1,3,28
PWH de Silva,12,10,16,2,0,0,0,3,2,33
PWH de Silva,13,6,6,2,0,5,0,0,1,20
PWH de Silva,14,14,9,0,0,1,0,6,4,34
PWH de Silva,15,14,14,1,0,1,0,6,1,37
PWH de Silva,16,15,16,0,0,2,0,3,4,40
PWH de Silva,17,0,0,0,0,0,0,0,0,0
PWH de Silva,18,3,1,0,0,0,0,2,2,8
Mohsin Khan,1,0,0,0,0,0,0,0,0,0
Mohsin Khan,2,21,9,2,1,3,0,1,3,40
Mohsin Khan,3,7,2,0,0,4,0,0,0,13
Mohsin Khan,4,0,0,0,0,0,0,0,0,0
Mohsin Khan,5,0,0,0,0,0,0,0,0,0
Mohsin Khan,6,0,0,0,0,0,0,0,0,0
Mohsin Khan,7,4,1,0,0,1,0,0,0,6
Mohsin Khan,8,4,2,0,0,0,0,0,1,7
Mohsin Khan,9,2,2,1,0,1,0,0,0,6
Mohsin Khan,10,0,0,0,0,0,0,0,0,0
Mohsin Khan,11,0,0,0,0,0,0,0,0,0
Mohsin Khan,12,12,7,0,0,1,0,0,2,22
Mohsin Khan,13,2,3,1,0,0,0,0,0,6
Mohsin Khan,14,2,9,1,0,0,0,0,0,12
Mohsin Khan,15,0,0,0,0,0,0,0,0,0
Mohsin Khan,16,8,9,3,0,1,0,3,3,27
Mohsin Khan,17,11,5,1,0,1,0,1,2,21
Mohsin Khan,18,0,2,2,0,2,0,0,0,6
PVD Chameera,1,36,11,1,0,7,0,1,1,57
PVD Chameera,2,8,3,1,0,6,0,1,1,20
PVD Chameera,3,10,4,0,0,4,0,0,1,19
PVD Chameera,4,12,4,0,0,2,0,2,1,21
PVD Chameera,5,6,4,1,0,6,0,2,0,19
PVD Chameera,6,2,7,1,0,2,0,0,0,12
PVD Chameera,7,0,0,0,0,0,0,0,0,0
PVD Chameera,8,3,0,0,0,3,0,0,0,6
PVD Chameera,9,0,0,0,0,0,0,0,0,0
PVD Chameera,10,10,3,2,0,3,0,0,0,18
PVD Chameera,11,1,3,0,0,3,0,0,0,7
PVD Chameera,12,6,5,2,0,0,0,0,0,13
PVD Chameera,13,2,4,0,0,0,0,0,0,6
PVD Chameera,14,0,0,0,0,0,0,0,0,0
PVD Chameera,15,4,2,0,0,0,0,0,1,7
PVD Chameera,16,3,6,1,0,2,0,2,0,14
PVD Chameera,17,0,2,2,0,1,0,1,0,6
PVD Chameera,18,12,10,1,0,6,0,3,0,32
PVD Chameera,19,4,1,0,0,0,0,1,3,9
KH Pandya,1,37,23,1,0,11,0,1,0,73
KH Pandya,2,16,14,1,1,4,0,2,2,40
KH Pandya,3,14,17,0,0,8,0,3,2,44
KH Pandya,4,58,38,5,0,9,0,7,6,123
KH Pandya,5,29,37,3,0,13,0,3,4,89
KH Pandya,6,56,82,13,1,9,0,4,1,166
KH Pandya,7,54,70,14,0,6,0,3,7,154
KH Pandya,8,40,70,8,0,16,0,7,1,142
KH Pandya,9,51,88,15,0,6,0,4,5,169
KH Pandya,10,49,92,10,0,12,0,6,8,177
KH Pandya,11,39,52,7,0,11,0,4,5,118
KH Pandya,12,40,80,11,0,8,0,5,2,146
KH Pandya,13,34,46,6,0,4,0,3,6,99
KH Pandya,14,19,28,6,0,8,0,2,2,65
KH Pandya,15,28,36,7,0,6,0,5,2,84
KH Pandya,16,9,11,3,0,1,0,0,3,27
KH Pandya,17,11,14,0,0,2,0,4,3,34
KH Pandya,18,1,0,0,0,0,0,0,1,2
KH Pandya,19,10,2,0,0,2,0,1,5,20
Avesh Khan,1,50,17,1,0,9,0,0,3,80
Avesh Khan,2,22,9,0,1,8,0,3,2,45
Avesh Khan,3,33,14,0,1,17,0,3,2,70
Avesh Khan,4,24,12,3,0,10,0,0,1,50
Avesh Khan,5,47,25,4,0,15,0,12,6,109
Avesh Khan,6,9,2,0,0,0,0,1,2,14
Avesh Khan,7,9,7,0,0,2,0,0,1,19
Avesh Khan,8,5,4,0,0,2,0,1,1,13
Avesh Khan,9,8,11,1,0,6,0,1,2,29
Avesh Khan,10,7,4,0,0,1,0,0,1,13
Avesh Khan,11,16,14,2,0,4,0,2,1,39
Avesh Khan,12,8,8,0,0,2,0,1,4,23
Avesh Khan,13,6,3,2,0,2,0,0,0,13
Avesh Khan,14,18,20,2,0,2,0,1,1,44
Avesh Khan,15,12,13,2,0,1,0,3,3,34
Avesh Khan,16,20,36,4,0,10,0,1,1,72
Avesh Khan,17,30,21,8,0,5,0,5,7,76
Avesh Khan,18,25,30,3,0,9,0,8,7,82
Avesh Khan,19,26,20,6,0,13,0,5,4,74
Ravi Bishnoi,1,0,0,0,0,0,0,0,0,0
Ravi Bishnoi,2,0,0,0,0,0,0,0,0,0
Ravi Bishnoi,3,16,13,0,0,5,0,0,3,37
Ravi Bishnoi,4,11,4,0,0,2,0,2,0,19
Ravi Bishnoi,5,22,5,0,0,6,0,1,0,34
Ravi Bishnoi,6,27,31,3,0,7,0,2,3,73
Ravi Bishnoi,7,30,39,11,0,9,0,3,4,96
Ravi Bishnoi,8,24,27,2,0,4,0,1,2,60
Ravi Bishnoi,9,29,32,0,0,3,0,4,1,69
Ravi Bishnoi,10,25,28,3,0,7,0,4,2,69
Ravi Bishnoi,11,33,42,2,0,8,0,2,3,90
Ravi Bishnoi,12,25,25,3,0,2,0,1,2,58
Ravi Bishnoi,13,24,23,7,0,8,0,5,5,72
Ravi Bishnoi,14,32,35,10,0,5,0,10,3,95
Ravi Bishnoi,15,38,34,4,0,9,0,5,8,98
Ravi Bishnoi,16,9,6,0,0,3,0,1,2,21
Ravi Bishnoi,17,8,7,6,0,4,0,0,3,28
AS Joseph,1,7,0,0,0,4,0,1,0,12
AS Joseph,2,0,0,0,0,0,0,0,0,0
AS Joseph,3,10,7,1,0,4,0,2,0,24
AS Joseph,4,9,2,1,0,5,0,1,1,19
AS Joseph,5,15,5,0,0,2,0,4,1,27
AS Joseph,6,11,9,1,0,3,0,1,1,26
AS Joseph,7,0,0,0,0,0,0,0,0,0
AS Joseph,8,4,5,2,0,1,0,0,0,12
AS Joseph,9,0,0,0,0,0,0,0,0,0
AS Joseph,10,6,11,3,0,1,0,4,0,25
AS Joseph,11,8,7,0,0,3,0,0,1,19
AS Joseph,12,0,0,0,0,4,0,2,0,6
AS Joseph,13,0,0,0,0,0,0,0,0,0
AS Joseph,14,5,1,0,0,0,0,0,1,7
AS Joseph,15,12,7,1,0,0,0,0,3,23
AS Joseph,16,4,1,1,0,0,0,0,1,7
AS Joseph,17,4,11,1,0,5,0,1,2,24
AS Joseph,18,3,2,1,0,1,0,0,1,8
AS Joseph,19,6,2,2,0,1,0,2,2,15
LS Livingstone,1,0,0,0,0,0,0,0,0,0
LS Livingstone,2,0,0,0,0,0,0,0,0,0
LS Livingstone,3,0,0,0,0,0,0,0,0,0
LS Livingstone,4,0,0,0,0,0,0,0,0,0
LS Livingstone,5,0,0,0,0,0,0,0,0,0
LS Livingstone,6,0,0,0,0,0,0,0,0,0
LS Livingstone,7,7,11,2,0,2,0,2,0,24
LS Livingstone,8,2,6,1,0,3,0,0,0,12
LS Livingstone,9,5,14,1,0,0,0,2,0,22
LS Livingstone,10,3,4,3,0,1,0,2,0,13
LS Livingstone,11,8,11,3,0,1,0,2,2,27
LS Livingstone,12,5,6,0,0,0,0,1,0,12
LS Livingstone,13,2,5,0,0,0,0,0,1,8
LS Livingstone,14,2,3,1,0,1,0,2,2,11
LS Livingstone,15,4,2,0,0,1,0,0,0,7
LS Livingstone,16,3,1,1,0,1,0,1,0,7
Arshdeep Singh,1,29,12,4,0,6,0,2,0,53
Arshdeep Singh,2,44,19,7,1,12,0,3,3,89
Arshdeep Singh,3,16,11,4,0,5,0,0,3,39
Arshdeep Singh,4,24,20,3,0,13,0,0,4,64
Arshdeep Singh,5,39,35,4,0,15,0,1,6,100
Arshdeep Singh,6,4,1,0,0,1,0,0,0,6
Arshdeep Singh,7,0,0,0,0,0,0,0,0,0
Arshdeep Singh,8,0,4,0,0,1,0,1,0,6
Arshdeep Singh,9,3,2,2,0,0,0,0,0,7
Arshdeep Singh,10,4,3,3,0,1,0,1,1,13
Arshdeep Singh,11,17,18,6,0,4,0,1,1,47
Arshdeep Singh,12,8,6,2,0,2,0,2,2,22
Arshdeep Singh,13,6,9,1,0,2,0,1,1,20
Arshdeep Singh,14,8,12,1,0,3,0,0,2,26
Arshdeep Singh,15,11,25,5,0,6,0,2,0,49
Arshdeep Singh,16,12,19,5,1,5,0,0,2,44
Arshdeep Singh,17,26,29,8,0,7,0,5,5,80
Arshdeep Singh,18,28,26,8,0,6,0,8,7,83
Arshdeep Singh,19,19,24,6,0,5,0,1,9,64
K Rabada,1,76,40,6,2,27,0,3,7,161
K Rabada,2,18,10,0,0,4,0,0,2,34
K Rabada,3,64,28,13,0,23,0,8,9,145
K Rabada,4,39,23,6,1,6,0,7,3,85
K Rabada,5,48,42,6,0,22,0,3,3,124
K Rabada,6,15,10,3,0,3,0,0,2,33
K Rabada,7,14,14,2,0,0,0,1,2,33
K Rabada,8,4,2,0,0,0,0,0,1,7
K Rabada,9,6,3,0,0,1,0,2,1,13
K Rabada,10,34,15,2,0,2,0,4,3,60
K Rabada,11,19,16,3,1,3,0,1,0,43
K Rabada,12,14,12,3,0,6,0,1,3,39
K Rabada,13,18,29,4,0,4,0,2,1,58
K Rabada,14,27,38,7,1,9,0,5,8,95
K Rabada,15,27,31,8,0,11,0,5,8,90
K Rabada,16,40,31,9,0,12,0,1,6,99
K Rabada,17,39,43,9,0,15,0,10,13,129
K Rabada,18,68,47,8,1,16,0,17,19,176
K Rabada,19,38,21,9,0,13,0,5,14,100
NT Ellis,1,0,0,0,0,0,0,0,0,0
NT Ellis,2,0,0,0,0,0,0,0,0,0
NT Ellis,3,4,2,0,0,0,0,0,0,6
NT Ellis,4,0,0,0,0,0,0,0,0,0
NT Ellis,5,14,4,1,0,5,0,1,0,25
NT Ellis,6,0,0,0,0,0,0,0,0,0
NT Ellis,7,0,0,0,0,0,0,0,0,0
NT Ellis,8,0,0,0,0,0,0,0,0,0
NT Ellis,9,4,8,0,0,1,0,0,0,13
NT Ellis,10,0,4,0,0,2,0,0,0,6
NT Ellis,11,0,0,0,0,0,0,0,0,0
NT Ellis,12,7,6,0,0,0,0,0,1,14
NT Ellis,13,3,2,0,0,2,0,0,0,7
NT Ellis,14,0,0,0,0,0,0,0,0,0
