batter,Active Ratio_death,Striking Ratio_death,True SR_death,True Avg_death,Active Ratio_middle,Striking Ratio_middle,True SR_middle,True Avg_middle,Active Ratio_powerplay,Striking Ratio_powerplay,True SR_powerplay,True Avg_powerplay
BB McCullum,0.819148936,0.191666667,0.652238815,0.480467631,0.824145169,0.299733232,0.609942008,0.305631183,0.503367003,0.190045249,0.387765496,0.334178298
BB Samantray,0.75862069,0.142857143,0.498333507,0.446007605,0.780620154,0.200520833,0.606655072,0.506928923,0.380952381,0.074074074,0.411132874,0.453915899
BJ Hodge,0.770718232,0.158995816,0.597927281,0.492449303,0.784742899,0.19684829,0.588610328,0.612154175,0.41509434,0.112820513,0.330347519,0.41654375
BJ Rohrer,0.852941176,0.315789474,0.6880681,0.727186312,0.725034199,0.253289473,0.576243518,0.344210997,0,0,0.006875478,0.229385307
C Munro,0.6,0,0.358347405,0.385678074,0.62997416,0.171875,0.502777226,0.234018775,0.561797753,0.229166667,0.401144574,0.344657217
C de Grandhomme,0.678899083,0.098765432,0.544217876,0.493655622,0.764642549,0.307352942,0.735437474,0.457452583,0.5,0,0.117647059,0.252040646
CA Ingram,0.69047619,0.15,0.592773417,0.46562407,0.704318936,0.226804124,0.565245111,0.320710135,0.5,0.095238095,0.315807404,0.35560791
CA Lynn,0.666666667,0.06,0.477008312,0.416341805,0.849692668,0.280809859,0.627889565,0.385994899,0.526415094,0.236842105,0.396699775,0.5009995
CA Pujara,0.609756098,0.073529412,0.454603317,0.419967409,0.868149646,0.186197917,0.490444675,0.376588543,0.431111111,0.132596685,0.340463798,0.375424357
CH Gayle,0.745387454,0.242937853,0.670802334,0.495483207,0.825312274,0.38558201,0.69735204,0.498124429,0.478060046,0.213541667,0.425708145,0.413831546
CH Morris,0.753378378,0.146766169,0.629465366,0.528318848,0.677229746,0.238333333,0.63005185,0.329603723,0.833333333,1,0.744719509,0.39930035
CJ Anderson,0.666666667,0.161971831,0.591700699,0.468056612,0.713330891,0.272208122,0.556654678,0.473178364,0.35,0.117647059,0.35677913,0.400765135
CJ Ferguson,0.565217391,0.078947369,0.563756434,0.472509506,0.678800135,0.096491229,0.48788749,0.269222173,0.416666667,0.063492063,0.341698842,0.439891166
CL White,0.837696335,0.169230769,0.6189467,0.561452471,0.78385158,0.204545455,0.576904796,0.407986887,0.477876106,0.100358423,0.375784222,0.379749566
CM Gautam,0.634146341,0.15,0.563602852,0.569804926,0.691435054,0.171875,0.629274388,0.368797497,0.431034483,0.151515151,0.39391655,0.28687323
D Padikkal,0.641509434,0.109756098,0.474116117,0.381110266,0.833955622,0.259057971,0.594437301,0.334231113,0.549800797,0.175156389,0.385767247,0.330599028
DA Miller,0.769366197,0.18119891,0.626724092,0.515709759,0.841942595,0.220259128,0.582996469,0.690533338,0.483870968,0.091666667,0.317462278,0.384668777
DA Warner,0.771428571,0.216145834,0.641397599,0.492000842,0.90392391,0.267480469,0.638192867,0.492599042,0.56781721,0.208647907,0.409837958,0.45205294
DB Das,0.703296703,0.1,0.568279808,0.50200283,0.662790697,0.25,0.642575735,1,0.41509434,0.146341463,0.401336624,0.402653936
DB Ravi Teja,0.719298246,0.125,0.600970288,0.462899873,0.815527189,0.205607476,0.57505009,0.736619661,0.50877193,0.097222222,0.249678819,0.244960853
DJ Bravo,0.765285996,0.172897197,0.619778641,0.486572461,0.684014247,0.156049251,0.528982437,0.384200216,0.448598131,0.162601626,0.402800606,0.464985928
DJ Hooda,0.735714286,0.103864735,0.560857742,0.440769018,0.86101083,0.239825582,0.621768493,0.45968035,0.471264368,0.127450981,0.3469832,1
DJ Hussey,0.726457399,0.17114094,0.622389283,0.476091282,0.787179988,0.17652027,0.52223758,0.383968802,0.486725664,0.170542635,0.434758834,0.641146094
DJG Sammy,0.641304348,0.123188406,0.577255953,0.444600037,0.748664943,0.173423423,0.585989964,0.546874002,0.4,0.444444445,0.625073813,0.4009995
DP Conway,0.866666667,0.136363637,0.578308843,0.526344378,0.939825581,0.525,0.76023038,0.792244077,0.569444444,0.124293785,0.349121467,0.304903104
DPMD Jayawardene,0.765217391,0.161290323,0.588103532,0.517514259,0.817688709,0.200869566,0.551294488,0.385310376,0.518595041,0.194674013,0.397059909,0.413378271
DR Martyn,0.666666667,0.25,0.923861319,0.482636248,0.890180878,0,0.517208775,0.32901207,0.333333333,0,0.23852618,0.127436282
DR Sams,0.5,0.078947369,0.470088375,0.367000543,0.792358804,0.125,0.568151536,0.268835322,0.166666667,0,0.149321267,0.314342829
DR Smith,0.691588785,0.134615385,0.627833984,0.458109812,0.801815431,0.391649591,0.703018236,0.38383173,0.49466951,0.193921853,0.373525148,0.430870984
DT Christian,0.706976744,0.099358975,0.552526165,0.462570424,0.784355179,0.090460527,0.518160583,0.419593911,0.375,0,0.15177852,0.233633183
E Lewis,0.631578947,0.192307693,0.589130418,0.460228137,0.742504904,0.232536765,0.52713978,0.285808199,0.538732394,0.232172471,0.418715686,0.365807481
EJG Morgan,0.713333333,0.164179105,0.626930534,0.47844947,0.746645796,0.22509862,0.574826736,0.415543777,0.407407407,0.118421053,0.348909018,0.442822448
F du Plessis,0.781021898,0.200581396,0.632282244,0.454412417,0.904862579,0.182845744,0.562591915,0.469874525,0.554376658,0.181674565,0.405564385,0.470673862
FY Fazal,0.71875,0.092592593,0.524248372,0.454626109,0.883333333,0.1925,0.539169631,0.380302567,0.52,0.122222222,0.324513645,0.429507469
G Gambhir,0.711956522,0.1328125,0.560540333,0.446198013,0.909811538,0.229388943,0.587359895,0.368718166,0.57654185,0.167770419,0.3752603,0.407644503
GC Smith,0.769230769,0.2,0.526975524,0.400760456,0.855352846,0.240437159,0.518865035,0.199043971,0.467191601,0.129812981,0.329098811,0.328249566
GD Phillips,0.714285714,0.25,0.706152277,0.394296578,0.410852713,0.0859375,0.475384968,0.284309343,0,0,0.235294118,0.346201899
GH Vihari,0.671641791,0.078431373,0.536137562,0.438158609,0.765564061,0.108035715,0.508496214,0.368859156,0.431818182,0.042735043,0.274863951,0.3735771
GJ Bailey,0.810055866,0.175438597,0.651614664,0.553778085,0.765597786,0.098214285,0.464066307,0.251167406,0.459677419,0.163265306,0.370063595,0.595732437
GJ Maxwell,0.712280702,0.2,0.585753767,0.45412683,0.843187921,0.403669725,0.720251159,0.412793721,0.541501976,0.216117216,0.413939054,0.400216558
Gurkeerat Singh,0.737179487,0.156521739,0.621708998,0.4893381,0.768935353,0.186440678,0.521465068,0.354656999,0.405405405,0.137931035,0.272822006,0.569215392
H Klaasen,0.774193548,0.113636364,0.575265725,0.50256654,0.61627907,0,0.356430292,0.108052877,0.615384615,0.066666667,0.255389112,0.355122439
HH Gibbs,0.863636364,0.125,0.629441938,0.797995161,0.760200529,0.182656826,0.55353502,0.357368781,0.454094293,0.148148148,0.332222407,0.35817855
HH Pandya,0.72143975,0.178733032,0.611629422,0.509654936,0.818069561,0.265022676,0.593522564,0.486214646,0.436893204,0.109803921,0.298216063,0.484257871
HM Amla,0.78,0.388888889,0.710632512,0.65608365,0.926432588,0.214139344,0.501961394,0.234242289,0.582474227,0.188505747,0.394541685,0.452205715
Harbhajan Singh,0.638190955,0.157342658,0.602626991,0.475048217,0.61627907,0.25,0.567109974,0.381716381,0.52,0.176470588,0.420238832,0.415725471
IK Pathan,0.719339623,0.147260274,0.604728517,0.49889346,0.777997691,0.097146739,0.490330452,0.356536812,0.573529412,0.186666667,0.439741672,0.4659337
IR Jaggi,0.714285714,0,0.457868518,0.442129278,0.65736434,0.108552631,0.542834137,0.348112326,0.416666667,0.0625,0.279028739,0.451819545
Ishan Kishan,0.730769231,0.225609756,0.660692834,0.454474018,0.848027466,0.24826389,0.603252204,0.393460287,0.511970534,0.176804542,0.377794017,0.620161586
J Botha,0.716666667,0.1,0.564057001,0.449239544,0.821705426,0.19069343,0.578618917,0.38592208,0.37254902,0.113821138,0.353690089,0.60149925
JA Morkel,0.733502538,0.134275619,0.582787671,0.476634076,0.74800284,0.241463415,0.586223806,0.465100751,0.75,0.222222222,0.544664925,0.439230385
JC Archer,0.704761905,0.141891892,0.602311353,0.497436478,0.61627907,0.34375,0.635443268,0.215978032,0,0,0,0
JC Buttler,0.74137931,0.23381295,0.638696349,0.50095057,0.869856317,0.320993031,0.631589309,0.519561323,0.535414166,0.238418079,0.42893593,0.535804213
JD Ryder,0.714285714,0.131578948,0.464145901,0,0.890858853,0.194117648,0.607447543,0.213261809,0.542857143,0.208144797,0.4576456,0.378766083
JEC Franklin,0.8,0.130434783,0.600426051,0.502396438,0.830637006,0.130387931,0.606524159,0.659067203,0.43956044,0.096491228,0.347602658,0.301396921
JH Kallis,0.744493392,0.187919463,0.626217502,0.452871628,0.835359141,0.125292056,0.497161062,0.367301397,0.48024948,0.144429767,0.373097619,0.405023587
JJ Roy,0.727272727,0.2,0.646540181,0.064638783,0.919527501,0.263297873,0.589891077,0.513251165,0.539877301,0.177419355,0.369145509,0.343015992
JM Bairstow,0.612244898,0.083333334,0.546759273,0.451576928,0.855578921,0.316546762,0.667481749,0.462657808,0.554112554,0.243550051,0.422502482,0.317823727
JM Kemp,0.5,0,0.31768028,0.371673004,0.758497316,0.34375,0.668562518,0.136790344,0.666666667,0,0.294117647,0.327086457
JM Sharma,0.756097561,0.26,0.659581171,0.584334601,0.768823393,0.406690141,0.679256468,0.420580559,1,0,0.296388826,0.257704481
JO Holder,0.604651163,0.105,0.593802234,0.46150937,0.796027131,0.211538462,0.691898896,0.555009189,0.166666667,0.133333333,0.261388766,0.370981176
JP Duminy,0.820717131,0.152941177,0.62227367,0.539209498,0.859358981,0.121598639,0.536712647,0.713181131,0.441558442,0.131147541,0.388447542,0.56701279
JP Faulkner,0.748175182,0.135638298,0.587416548,0.491596135,0.65253078,0.114583333,0.454870925,0.482118909,0.4,0.074074074,0.324478178,0.307005588
JR Hopes,0.8,0.09375,0.546653134,0.462490494,0.860834255,0.4125,0.639250745,0.372495631,0.526315789,0.176470588,0.383458647,0.322029461
JR Philippe,0.5,0,0.276682529,0.370595691,0.924418604,0.275,0.605174669,0.076441663,0.481481481,0.103703704,0.333109244,0.3667333
K Goel,0.592592593,0.086956522,0.56970109,0.577439797,0.554651163,0.07638889,0.334735898,0.159141708,0.480769231,0.105820106,0.303834124,0.251155672
K Gowtham,0.666666667,0.243243243,0.703073767,0.472401774,0.778457772,0.284482759,0.670438554,0.280651847,0.6,0.166666667,0.477901431,0.250624688
K Rabada,0.592592593,0.097560976,0.588823535,0.46428826,0.61627907,0.152777778,0.598288559,0.572083147,0.333333333,0,0.295886776,0.351724138
KA Pollard,0.696785404,0.174448768,0.605436364,0.49419332,0.750454814,0.269480519,0.62068482,0.536435221,0.520833333,0.102564103,0.364432569,0.372207189
KC Sangakkara,0.741666667,0.17948718,0.640920542,0.451701974,0.863101165,0.230617089,0.605847792,0.325872064,0.511363636,0.172619047,0.387408001,0.467084315
KD Karthik,0.746606335,0.183219178,0.62137166,0.49422192,0.831186642,0.255434783,0.585572365,0.401570241,0.465822785,0.126687435,0.349239038,0.569151819
KH Pandya,0.717647059,0.167391305,0.592176893,0.479288348,0.764524894,0.26264045,0.594806058,0.396402928,0.576923077,0.333333333,0.551401029,0.459336998
KK Cooper,0.604651163,0.24,0.645684325,0.429099627,0.704318936,0.366666667,0.675227185,0.195797944,1,0.666666667,1,0
KK Nair,0.748344371,0.2,0.613061464,0.457236521,0.83068204,0.232104701,0.559903998,0.329049045,0.512437811,0.18344519,0.396197882,0.429830406
KL Rahul,0.816438356,0.205752213,0.641993222,0.535359949,0.920254557,0.241693462,0.577023446,0.5170956,0.557661927,0.161323681,0.38355473,0.57319492
KM Jadhav,0.69895288,0.114583334,0.568322639,0.49918003,0.843059517,0.210997442,0.609613906,0.422123402,0.3125,0.131313131,0.334843938,0.356931448
KP Pietersen,0.782608696,0.177083334,0.598234768,0.718136882,0.820598006,0.264423077,0.6279468,0.312311971,0.584507042,0.190938511,0.425943624,0.823840163
KS Bharat,0.842105263,0.090909091,0.503762806,0.103422053,0.851052048,0.184701492,0.631244555,0.326089199,0.563636364,0.136363637,0.369361614,0.400008329
KS Williamson,0.833333333,0.161202186,0.6251514,0.538598814,0.875764994,0.232367318,0.598707033,0.491622673,0.489082969,0.120720721,0.325502067,0.439991394
KV Sharma,0.68627451,0.100877193,0.576241009,0.463168568,0.744416302,0.126436782,0.539578652,0.411414096,0.333333333,0.095238095,0.395630252,0.390804598
Kamran Akmal,0.705882353,0.136363637,0.599152237,0.538656527,0.986046511,1,1,0.249105945,0.421052632,0.206896552,0.353544288,0.335582209
LA Carseldine,1,0.111111111,0.507591208,0.463244613,0.908200734,0.183333333,0.563174507,0.168641037,0.382352941,0.194444445,0.470464656,0.576295186
LA Pomersbach,0.723404255,0.111111111,0.550258471,0.438389462,0.739534883,0.234374999,0.592581928,0.610000639,0.539473684,0.192307692,0.409494715,0.422663668
LJ Wright,0.805555556,0.394736842,0.714547444,0.460012674,0.65736434,0.211538462,0.502640932,0.249105945,0.375,0.095238095,0.321680672,0.35575962
LMP Simmons,0.777777778,0.125,0.595116701,0.492547529,0.786589809,0.317307693,0.56286576,0.406124274,0.5,0.168627451,0.364830746,0.456832987
LPC Silva,1,0.5,0.701790165,0.407224335,0.770348837,0.196428572,0.384218467,0,0.428571429,0.266666667,0.518884477,0.368149259
LR Shukla,0.685897436,0.118644068,0.569179091,0.460576981,0.683189368,0.200520833,0.558959819,0.288088755,0.4,0,0.192993824,0.28035982
LRPL Taylor,0.72826087,0.152,0.612007598,0.514297282,0.786632633,0.164588529,0.555422307,0.359188321,0.533898305,0.185185185,0.417745862,0.65765835
LS Livingstone,0.784313725,0.25,0.764438589,0.48441467,0.862152066,0.379310345,0.719717388,0.521119173,0.565789474,0.287581699,0.527574593,0.511161086
Lalit Yadav,0.785714286,0.121212121,0.496940857,0.637153721,0.723458038,0.139830508,0.439851324,0.31439307,0.428571429,0.083333333,0.233373349,0.412043978
M Kaif,0.6,0.080645162,0.472856172,0.427361802,0.75907544,0.200961538,0.529283694,0.40832654,0.285714286,0.086021505,0.256283037,0.308395802
M Manhas,0.729281768,0.093283582,0.568687017,0.506569737,0.739534883,0.151973685,0.528900905,0.394148269,0.365384615,0.113821138,0.303653315,0.369423622
M Rawat,0.604651163,0.054054054,0.487591414,0.484956615,0.586932447,0.06875,0.407494099,0.38984665,0,0,0.010220304,0.191154423
M Shahrukh Khan,0.626373626,0.136363637,0.596463759,0.48026616,0.663685151,0.160194174,0.466226181,0.424580793,0.583333333,0.133333333,0.374025974,0.341043764
M Vijay,0.724637681,0.2,0.597613803,0.499565454,0.844364937,0.263409961,0.620499169,0.283990038,0.515486726,0.143410853,0.377690535,0.388713806
M Vohra,0.730769231,0.423076923,0.80297652,0.522560203,0.797818641,0.256476683,0.612448904,0.289250171,0.532692308,0.174603175,0.388605091,0.392325545
MA Agarwal,0.81981982,0.269230769,0.69552712,0.481314091,0.898500326,0.300255102,0.636263331,0.264369243,0.542194093,0.161364684,0.383863508,0.343507557
MC Henriques,0.762626263,0.166666667,0.59031579,0.506491037,0.790750769,0.211231884,0.566480903,0.338103298,0.617647059,0.117283951,0.369472893,0.597534566
MC Juneja,0.5625,0.071428572,0.514830438,0.456511407,0.817239635,0.121835443,0.532312573,0.361421547,0.588235294,0.153846154,0.414472033,0.427214964
MD Mishra,0.736842105,0.09375,0.51931412,0.332889734,0.802141011,0.2578125,0.595111957,0.220693924,0.45,0.144927536,0.370930594,0.381793952
MEK Hussey,0.825757576,0.228395062,0.605010656,0.516648561,0.907176938,0.227927928,0.582046926,0.365315842,0.511378849,0.13836478,0.367168808,0.459066519
MJ McClenaghan,0.468085106,0.105263158,0.539277526,0.43840707,0.713586291,0.366666667,0.759243478,0.296172759,0,0,0.206450148,0.337706147
MJ Santner,0.785714286,0.166666667,0.821675194,0.568821293,0.5602537,0,0.411745238,0.217255253,0.391304348,0.111111111,0.334763154,0.3015992
MK Lomror,0.78125,0.142857143,0.641711987,0.503695981,0.877226063,0.17368421,0.571285247,0.417523469,0.428571429,0.121212121,0.411033979,0.414167916
MK Pandey,0.76,0.119601329,0.592961247,0.502829842,0.861017787,0.194765204,0.55313264,0.378908416,0.507399577,0.152143845,0.37314329,0.478027653
MK Tiwary,0.748110831,0.12543554,0.576411287,0.499969018,0.788281864,0.18993994,0.548597298,0.515828167,0.473214286,0.108695652,0.369514309,0.443433546
ML Hayden,0.822222222,0.25,0.575921265,0.690019011,0.878525482,0.325829384,0.644696138,0.388711002,0.511160714,0.205128205,0.389844447,0.433946648
MM Ali,0.681818182,0.224637681,0.610237654,0.477796627,0.831976744,0.33,0.652786721,0.337371341,0.44966443,0.187134503,0.409438863,0.437328955
MN Samuels,0.823529412,0.083333334,0.557322211,0.534562738,0.686999618,0.176980198,0.564271177,0.294333591,0.25,0.028985507,0.232292917,0.331334333
MN van Wyk,0.825,0.16,0.565099164,0.638307985,0.914478619,0.161764706,0.622938308,0.834152883,0.44,0.175438597,0.411845842,0.421389305
MP Stoinis,0.734463277,0.158333334,0.580347443,0.492749365,0.817829458,0.20625,0.560288065,0.381728427,0.5,0.148148148,0.321909532,0.427939256
MR Marsh,0.640350877,0.129411765,0.634356478,0.465803232,0.765269614,0.158653846,0.559186402,0.935691934,0.541176471,0.164102564,0.366767028,0.474062969
MS Bisla,0.606060606,0.195652174,0.59954756,0.493409379,0.803606188,0.193117977,0.589489042,0.214556734,0.463942308,0.168224299,0.366246499,0.338610599
MS Dhoni,0.75103981,0.182745826,0.610109819,0.509386572,0.759014004,0.150586701,0.502163797,0.587459555,0.38028169,0.11299435,0.334631541,0.545144095
MV Boucher,0.746478873,0.145833334,0.612347446,0.543202263,0.769190417,0.163990826,0.538028501,0.4111862,0.458333333,0.1,0.393457383,0.466204398
Mandeep Singh,0.77238806,0.122994653,0.574974824,0.456155894,0.852784691,0.20980047,0.556393351,0.386363667,0.510318949,0.17,0.376469707,0.344532318
Misbah-ul-Haq,0.7,0.25,0.767845003,0.503536122,0.792358804,0.208333334,0.573918449,0.226195798,0.588235294,0.277777778,0.547928551,0.315286801
Mohammad Hafeez,0.444444444,0.142857143,0.375028325,0.210076046,0.61627907,0.080882352,0.535616798,0.261098312,0.323529412,0.114942529,0.381733442,0.355405631
Mohammad Nabi,0.628571429,0.18367347,0.60135501,0.445487522,0.903875968,0.242647059,0.684318218,0.341975861,0.5,0.666666667,0.791350687,0.29097951
N Jagadeesan,0.769230769,0,0.615180197,0.484790875,0.813488372,0.275,0.672958556,0.307107734,0.333333333,0,0.277310924,0.330120654
N Pooran,0.698412698,0.15503876,0.610326468,0.485680085,0.812749509,0.36,0.677463515,0.434175716,0.305555556,0.12345679,0.339875305,0.31292687
N Rana,0.701570681,0.214285715,0.608625248,0.457882855,0.811336903,0.282333333,0.60092892,0.401524106,0.473568282,0.172839506,0.363854185,0.489355322
N Saini,0.375,0.083333334,0.511671986,0.437820025,0.804935927,0.180921052,0.509927273,0.143048726,0.49382716,0.107526882,0.313443207,0.34549392
NK Patel,0.80952381,0.166666667,0.60842964,0.499873257,0.763012181,0.117857143,0.520277448,0.343819848,0.37037037,0.118518519,0.3536046,0.63340552
NLTC Perera,0.692307692,0.130252101,0.617692558,0.474247976,0.756833945,0.20923913,0.660245733,0.346199019,0.466666667,0.242424243,0.476181292,0.468573406
NS Naik,0.523809524,0,0.370281584,0.410025349,0.718992247,0.1375,0.440308019,0.208314707,0.25,0.044444445,0.207983193,0.320006663
NV Ojha,0.6271777,0.115740741,0.544739704,0.467536263,0.774149419,0.226973684,0.585939649,0.378988028,0.415966387,0.137152778,0.350172869,0.376943819
OA Shah,0.765060241,0.141025641,0.590192227,0.502171525,0.766357392,0.182753164,0.577891004,0.744717225,0.470588235,0.153846154,0.446346877,0.434982509
P Kumar,0.57480315,0.08,0.530166132,0.46151285,0.458626284,0.222972973,0.539232071,0.374318887,0.25,0.111111111,0.197647059,0.236181909
P Negi,0.693181818,0.12,0.579942754,0.474461581,0.659854357,0.201219512,0.524500276,0.34616332,0.2,0.166666667,0.19488491,0.341374767
P Simran Singh,0.5,0.071428572,0.4727601,0.444622488,0.205426357,0,0,0.113321413,0.5,0.121212121,0.320034863,0.256086243
PA Patel,0.746268657,0.112244898,0.570058211,0.44771335,0.872109611,0.217362344,0.594653052,0.300925943,0.534607779,0.185646501,0.387377954,0.344266291
PA Reddy,0.8,0.75,1,0.463244613,0.845873233,0.089673913,0.565185546,0.253877102,0.538461538,0.089430894,0.367304536,0.357954356
PBB Rajapaksa,0.6,0,0.255917434,0.353358682,0.844034378,0.395833334,0.708147031,0.373994189,0.607142857,0.392156863,0.567555718,0.29683643
PC Valthaty,0.772727273,0.363636364,0.607193622,0.23269962,0.739534883,0.271978022,0.56119964,0.281838929,0.41697417,0.174757281,0.37923285,0.348113443
PD Collingwood,0.720930233,0.172413793,0.651577487,0.507414449,0.777047523,0.139240507,0.565466929,0.527939204,0.555555556,0.222222222,0.393969352,0.438689746
PJ Cummins,0.690322581,0.176767677,0.650947973,0.47038579,0.609028727,0.317307693,0.558499378,0.456211647,0,0,0.084033613,0.322838581
PK Garg,0.722222222,0.173913044,0.670812173,0.484560022,0.821705426,0.117521367,0.531073606,0.239457607,0.5,0.114942529,0.349106085,0.333154851
PP Chawla,0.620481928,0.109126984,0.546869981,0.448301689,0.631310266,0.136524823,0.531209232,0.421900853,0.416666667,0.25,0.405378151,0.324962519
